###############
#    GaPSE    #
############### 
#
# This is an integration map of the function \mathcal{F}(s, \mu), defined as:
# \mathcal{F}(s, \mu) = \int_0^\infty dp p^2 \phi(p) \phi(\sqrt{p^2 + s^2 + 2 p s \mu}) F(s/p, \mu)
# where F(x, \mu) is stored in a WindowF struct (for its analytical definition, check the code.
#
#
# s [h_0^{-1} Mpc] 	 mu 	 IF
0.0	 -1.0 	 0.0
0.0	 -0.995 	 2.09887380982616e11
0.0	 -0.99 	 2.0994159400868597e11
0.0	 -0.985 	 2.0944085358617715e11
0.0	 -0.98 	 2.0954163382236484e11
0.0	 -0.975 	 2.0944400194370166e11
0.0	 -0.97 	 2.094488465425702e11
0.0	 -0.965 	 2.1019258972289716e11
0.0	 -0.96 	 2.0985519220929437e11
0.0	 -0.955 	 2.0984110222558987e11
0.0	 -0.95 	 2.095224469735365e11
0.0	 -0.9 	 2.0993515723824246e11
0.0	 -0.85 	 2.0952070044494382e11
0.0	 -0.8 	 2.0959415083612885e11
0.0	 -0.75 	 2.095936865767368e11
0.0	 -0.7 	 2.095222995675201e11
0.0	 -0.65 	 2.0968837972195477e11
0.0	 -0.6 	 2.099456743746628e11
0.0	 -0.55 	 2.0958336488829196e11
0.0	 -0.5 	 2.0952595628459705e11
0.0	 -0.45 	 2.0960304576870044e11
0.0	 -0.4 	 2.0958228026248715e11
0.0	 -0.35 	 2.09604383446756e11
0.0	 -0.3 	 2.0976442124092874e11
0.0	 -0.25 	 2.0953127587211264e11
0.0	 -0.2 	 2.0957273627164813e11
0.0	 -0.15 	 2.096156118260511e11
0.0	 -0.1 	 2.0959051192442273e11
0.0	 -0.05 	 2.0961842306079132e11
0.0	 0.0 	 2.095863568841547e11
0.0	 0.05 	 2.096184230607386e11
0.0	 0.1 	 2.0959051192443552e11
0.0	 0.15 	 2.0961561182606445e11
0.0	 0.2 	 2.0957273627164044e11
0.0	 0.25 	 2.0953127587209842e11
0.0	 0.3 	 2.0976442124094556e11
0.0	 0.35 	 2.0960438344670193e11
0.0	 0.4 	 2.0958228026245288e11
0.0	 0.45 	 2.0960304576869376e11
0.0	 0.5 	 2.0952595628459018e11
0.0	 0.55 	 2.0958336488829724e11
0.0	 0.6 	 2.0994567437452487e11
0.0	 0.65 	 2.096883797219316e11
0.0	 0.7 	 2.095222995675216e11
0.0	 0.75 	 2.0959368657672723e11
0.0	 0.8 	 2.0959415083614206e11
0.0	 0.85 	 2.09520700444924e11
0.0	 0.9 	 2.0993515723791937e11
0.0	 0.95 	 2.0952244697345825e11
0.0	 0.955 	 2.098411022254789e11
0.0	 0.96 	 2.0985519220972028e11
0.0	 0.965 	 2.101925897224269e11
0.0	 0.97 	 2.094488465425215e11
0.0	 0.975 	 2.0944400194366885e11
0.0	 0.98 	 2.095416338224686e11
0.0	 0.985 	 2.094408535861062e11
0.0	 0.99 	 2.0994159400868695e11
0.0	 0.995 	 2.0988738098810892e11
0.0	 1.0 	 0.0
100.0	 -1.0 	 0.0
100.0	 -0.995 	 1.895760027319007e11
100.0	 -0.99 	 1.8952646454039813e11
100.0	 -0.985 	 1.8899347840052e11
100.0	 -0.98 	 1.890276310963705e11
100.0	 -0.975 	 1.8878275901478638e11
100.0	 -0.97 	 1.8883938504914288e11
100.0	 -0.965 	 1.8945684093911026e11
100.0	 -0.96 	 1.8910785716250928e11
100.0	 -0.955 	 1.8909699933327267e11
100.0	 -0.95 	 1.8874338802832333e11
100.0	 -0.9 	 1.909098654551279e11
100.0	 -0.85 	 1.9029738816813608e11
100.0	 -0.8 	 1.9231367448150824e11
100.0	 -0.75 	 1.9211226050856232e11
100.0	 -0.7 	 1.94024857859564e11
100.0	 -0.65 	 1.9405909076861893e11
100.0	 -0.6 	 1.9616471386957556e11
100.0	 -0.55 	 1.978230974838989e11
100.0	 -0.5 	 1.9763364135931052e11
100.0	 -0.45 	 1.9955142646769846e11
100.0	 -0.4 	 1.9962838740409506e11
100.0	 -0.35 	 2.0155024092539185e11
100.0	 -0.3 	 2.0162376052826773e11
100.0	 -0.25 	 2.0337301017140646e11
100.0	 -0.2 	 2.0340679897978793e11
100.0	 -0.15 	 2.053568434946234e11
100.0	 -0.1 	 2.0722118389763458e11
100.0	 -0.05 	 2.0727874902171487e11
100.0	 0.0 	 2.0724115649977734e11
100.0	 0.05 	 2.0729218047966238e11
100.0	 0.1 	 2.0396492989943222e11
100.0	 0.15 	 2.040140592441575e11
100.0	 0.2 	 2.0067495942854282e11
100.0	 0.25 	 2.0069638205572183e11
100.0	 0.3 	 1.9767775196309048e11
100.0	 0.35 	 1.9755910045157144e11
100.0	 0.4 	 1.9430829557295068e11
100.0	 0.45 	 1.9118792900150073e11
100.0	 0.5 	 1.911204366162244e11
100.0	 0.55 	 1.8801425835443112e11
100.0	 0.6 	 1.8841068247044153e11
100.0	 0.65 	 1.8508271915188232e11
100.0	 0.7 	 1.8505492292881296e11
100.0	 0.75 	 1.8207583203267078e11
100.0	 0.8 	 1.8218364652282416e11
100.0	 0.85 	 1.7909062967559924e11
100.0	 0.9 	 1.7964810576073438e11
100.0	 0.95 	 1.7635705663068454e11
100.0	 0.955 	 1.7669191316866116e11
100.0	 0.96 	 1.767038812148677e11
100.0	 0.965 	 1.7702014479357825e11
100.0	 0.97 	 1.7644563835754678e11
100.0	 0.975 	 1.763334674732266e11
100.0	 0.98 	 1.7662219221610532e11
100.0	 0.985 	 1.7657580186059393e11
100.0	 0.99 	 1.7707386719107263e11
100.0	 0.995 	 1.7712522038402615e11
100.0	 1.0 	 0.0
200.0	 -1.0 	 0.0
200.0	 -0.995 	 1.6535941087017606e11
200.0	 -0.99 	 1.6522671464030014e11
200.0	 -0.985 	 1.646743037432591e11
200.0	 -0.98 	 1.6466903194931458e11
200.0	 -0.975 	 1.6432438079281662e11
200.0	 -0.97 	 1.6441006113094992e11
200.0	 -0.965 	 1.6489779313553116e11
200.0	 -0.96 	 1.6681854409738837e11
200.0	 -0.955 	 1.667969061277821e11
200.0	 -0.95 	 1.6643380805651962e11
200.0	 -0.9 	 1.6841389604083856e11
200.0	 -0.85 	 1.6995024751319708e11
200.0	 -0.8 	 1.719821947448411e11
200.0	 -0.75 	 1.7377300542316357e11
200.0	 -0.7 	 1.7789348770191373e11
200.0	 -0.65 	 1.7993562395394788e11
200.0	 -0.6 	 1.8198172796929642e11
200.0	 -0.55 	 1.8371178861014667e11
200.0	 -0.5 	 1.8548072350953278e11
200.0	 -0.45 	 1.8737439790920987e11
200.0	 -0.4 	 1.8950724410853302e11
200.0	 -0.35 	 1.9339580346347006e11
200.0	 -0.3 	 1.9538882756225778e11
200.0	 -0.25 	 1.9713031084271768e11
200.0	 -0.2 	 1.9911906337681223e11
200.0	 -0.15 	 2.010249447982907e11
200.0	 -0.1 	 2.028712593356962e11
200.0	 -0.05 	 2.048521692641529e11
200.0	 0.0 	 2.0480839598478152e11
200.0	 0.05 	 2.016086929882742e11
200.0	 0.1 	 1.9836760777791312e11
200.0	 0.15 	 1.9519366678653552e11
200.0	 0.2 	 1.887137027953932e11
200.0	 0.25 	 1.856261012898303e11
200.0	 0.3 	 1.827529628241612e11
200.0	 0.35 	 1.7944364351948026e11
200.0	 0.4 	 1.7638544455742715e11
200.0	 0.45 	 1.735282909350643e11
200.0	 0.5 	 1.7041620259488568e11
200.0	 0.55 	 1.674942925669418e11
200.0	 0.6 	 1.648694699512004e11
200.0	 0.65 	 1.6174803304078445e11
200.0	 0.7 	 1.5880843022421503e11
200.0	 0.75 	 1.5611724929497726e11
200.0	 0.8 	 1.5329829269948355e11
200.0	 0.85 	 1.5052720796431387e11
200.0	 0.9 	 1.4818629000543137e11
200.0	 0.95 	 1.4529644060945493e11
200.0	 0.955 	 1.4561769834583038e11
200.0	 0.96 	 1.456312211500465e11
200.0	 0.965 	 1.4295160193260852e11
200.0	 0.97 	 1.425367199076746e11
200.0	 0.975 	 1.4246102123577335e11
200.0	 0.98 	 1.4275592779439032e11
200.0	 0.985 	 1.4274496622683136e11
200.0	 0.99 	 1.432232726690977e11
200.0	 0.995 	 1.4333276410499408e11
200.0	 1.0 	 0.0
300.0	 -1.0 	 0.0
300.0	 -0.995 	 1.391415596863806e11
300.0	 -0.99 	 1.389530177112929e11
300.0	 -0.985 	 1.3840827001889572e11
300.0	 -0.98 	 1.3837901015165085e11
300.0	 -0.975 	 1.4041309377098544e11
300.0	 -0.97 	 1.404977385608676e11
300.0	 -0.965 	 1.408829355925461e11
300.0	 -0.96 	 1.4057352533254037e11
300.0	 -0.955 	 1.405366669053414e11
300.0	 -0.95 	 1.426011963101412e11
300.0	 -0.9 	 1.4446364926256152e11
300.0	 -0.85 	 1.4848151078526242e11
300.0	 -0.8 	 1.528629250773708e11
300.0	 -0.75 	 1.5688665752117648e11
300.0	 -0.7 	 1.6115800139215634e11
300.0	 -0.65 	 1.632306730969543e11
300.0	 -0.6 	 1.674349128857973e11
300.0	 -0.55 	 1.71329482291511e11
300.0	 -0.5 	 1.7520589116079895e11
300.0	 -0.45 	 1.7709728868226703e11
300.0	 -0.4 	 1.8128886490365585e11
300.0	 -0.35 	 1.8517783840699365e11
300.0	 -0.3 	 1.8914566216053262e11
300.0	 -0.25 	 1.908630432167283e11
300.0	 -0.2 	 1.948032314837726e11
300.0	 -0.15 	 1.9857386279210394e11
300.0	 -0.1 	 2.0040520011566986e11
300.0	 -0.05 	 2.0238823701669986e11
300.0	 0.0 	 1.9908315485225568e11
300.0	 0.05 	 1.92761824304161e11
300.0	 0.1 	 1.896402750057726e11
300.0	 0.15 	 1.834074613385446e11
300.0	 0.2 	 1.7713132271520993e11
300.0	 0.25 	 1.7419961286572244e11
300.0	 0.3 	 1.6839463154016168e11
300.0	 0.35 	 1.6517653038622223e11
300.0	 0.4 	 1.5926767413245752e11
300.0	 0.45 	 1.5367037072086835e11
300.0	 0.5 	 1.5076791867949393e11
300.0	 0.55 	 1.4508610606339072e11
300.0	 0.6 	 1.4266032836600168e11
300.0	 0.65 	 1.3679988885111966e11
300.0	 0.7 	 1.3415941551693483e11
300.0	 0.75 	 1.2888096990590877e11
300.0	 0.8 	 1.262903237117324e11
