###############
#    GaPSE    #
############### 
#
# This is an integration map of the function \mathcal{F}(s, \mu), defined as:
# \mathcal{F}(s, \mu) = \int_0^\infty dp p^2 \phi(p) \phi(\sqrt{p^2 + s^2 + 2 p s \mu}) F(s/p, \mu)
# where F(x, \mu) is stored in a WindowF struct (for its analytical definition, check the code.
#
#
# s [h_0^{-1} Mpc] 	 mu 	 IF
100.0	 -1.0 	 0.0
100.0	 -0.99 	 2.2238568980961185e9
100.0	 -0.98 	 2.2379748349907923e9
100.0	 -0.97 	 2.2046290033041635e9
100.0	 -0.96 	 2.1904057059771194e9
100.0	 -0.95 	 2.2005053661761417e9
100.0	 -0.94 	 2.1877005715513334e9
100.0	 -0.93 	 2.1848608485976577e9
100.0	 -0.92 	 2.1911884372437797e9
100.0	 -0.91 	 2.1837692229916425e9
100.0	 -0.9 	 2.1827095600422997e9
100.0	 -0.85 	 2.18766886095404e9
100.0	 -0.8 	 2.1841223834954967e9
100.0	 -0.75 	 2.1801204743029485e9
100.0	 -0.7 	 2.188191415730983e9
100.0	 -0.65 	 2.192859568976022e9
100.0	 -0.6 	 2.190228555959888e9
100.0	 -0.55 	 2.196107447677575e9
100.0	 -0.5 	 2.197530620502425e9
100.0	 -0.45 	 2.2075408889960866e9
100.0	 -0.4 	 2.206251981518071e9
100.0	 -0.35 	 2.208934461848597e9
100.0	 -0.3 	 2.212522940668197e9
100.0	 -0.25 	 2.2125674953981404e9
100.0	 -0.2 	 2.212039471768172e9
100.0	 -0.15 	 2.2139662595629034e9
100.0	 -0.1 	 2.214326821947332e9
100.0	 -0.05 	 2.2163999363563223e9
100.0	 0.0 	 2.1484787298043494e9
100.0	 0.05 	 2.0852775256444108e9
100.0	 0.1 	 2.020913772050035e9
100.0	 0.15 	 1.9596473430539057e9
100.0	 0.2 	 1.89963808459883e9
100.0	 0.25 	 1.8411486163395455e9
100.0	 0.3 	 1.8459849412720373e9
100.0	 0.35 	 1.7901332350545514e9
100.0	 0.4 	 1.7336925324079475e9
100.0	 0.45 	 1.6823831038137076e9
100.0	 0.5 	 1.6238971723771763e9
100.0	 0.55 	 1.6308669717502198e9
100.0	 0.6 	 1.5816803148832343e9
100.0	 0.65 	 1.5345957223294291e9
100.0	 0.7 	 1.4817975530176735e9
100.0	 0.75 	 1.43932777795349e9
100.0	 0.8 	 1.4447636424206553e9
100.0	 0.85 	 1.398712150692409e9
100.0	 0.9 	 1.361676562621919e9
100.0	 0.91 	 1.3610092303888392e9
100.0	 0.92 	 1.3656664365209894e9
100.0	 0.93 	 1.3654457373793776e9
100.0	 0.94 	 1.3738097995493307e9
100.0	 0.95 	 1.3209553980792074e9
100.0	 0.96 	 1.3253180614721e9
100.0	 0.97 	 1.3288201429710543e9
100.0	 0.98 	 1.3481484503537364e9
100.0	 0.99 	 1.338655244257507e9
100.0	 1.0 	 0.0
150.0	 -1.0 	 0.0
150.0	 -0.99 	 2.0583793387721086e9
150.0	 -0.98 	 2.0832903089614167e9
150.0	 -0.97 	 2.046098004532068e9
150.0	 -0.96 	 2.0430374651703331e9
150.0	 -0.95 	 2.0381221066503243e9
150.0	 -0.94 	 2.0388715600888925e9
150.0	 -0.93 	 2.0332444263365855e9
150.0	 -0.92 	 2.0403365469459279e9
150.0	 -0.91 	 2.0309181519957438e9
150.0	 -0.9 	 2.0419120265693765e9
150.0	 -0.85 	 2.0423379733237884e9
150.0	 -0.8 	 2.0582718011699145e9
150.0	 -0.75 	 2.0704133478999832e9
150.0	 -0.7 	 2.0764253754999855e9
150.0	 -0.65 	 2.0928606790146804e9
150.0	 -0.6 	 2.0993116710023e9
150.0	 -0.55 	 2.1024169582079265e9
150.0	 -0.5 	 2.111215916328663e9
150.0	 -0.45 	 2.1166820776162438e9
150.0	 -0.4 	 2.1130783678831272e9
150.0	 -0.35 	 2.1125430497444253e9
150.0	 -0.3 	 2.1141143432104902e9
150.0	 -0.25 	 2.1163422880887651e9
150.0	 -0.2 	 2.1182466219814782e9
150.0	 -0.15 	 2.1221259059167502e9
150.0	 -0.1 	 2.0579643640248463e9
150.0	 -0.05 	 1.9968850844566135e9
150.0	 0.0 	 1.9363473043865252e9
150.0	 0.05 	 1.8182153155683022e9
150.0	 0.1 	 1.76226914441768e9
150.0	 0.15 	 1.7082984994198773e9
150.0	 0.2 	 1.6561941457734137e9
