###############
#    GaPSE    #
############### 
#
# This is an integration map of the function \mathcal{F}(s, \mu), defined as:
# \mathcal{F}(s, \mu) = \int_0^\infty dp p^2 \phi(p) \phi(\sqrt{p^2 + s^2 + 2 p s \mu}) F(s/p, \mu)
# where F(x, \mu) is stored in a WindowF struct (for its analytical definition, check the code.
#
#
# s [h_0^{-1} Mpc] 	 mu 	 IF
0.0	 -1.0 	 0.0
0.0	 -0.99 	 2.0910474332409756e11
0.0	 -0.98 	 2.0942605700752023e11
0.0	 -0.97 	 2.092231227545963e11
0.0	 -0.96 	 2.0930358560399524e11
0.0	 -0.95 	 2.093173528797629e11
0.0	 -0.94 	 2.0961439013884616e11
0.0	 -0.93 	 2.0945867728255222e11
0.0	 -0.92 	 2.101345863316662e11
0.0	 -0.91 	 2.0965848733401358e11
0.0	 -0.9 	 2.096352166887565e11
0.0	 -0.85 	 2.0957724958622415e11
0.0	 -0.8 	 2.0984113635679126e11
0.0	 -0.75 	 2.0937955921402042e11
0.0	 -0.7 	 2.0955500569045514e11
0.0	 -0.65 	 2.0966601008529416e11
0.0	 -0.6 	 2.0941294923537137e11
0.0	 -0.55 	 2.0967560586843198e11
0.0	 -0.5 	 2.09593554387238e11
0.0	 -0.45 	 2.0965616746327234e11
0.0	 -0.4 	 2.0962803442523495e11
0.0	 -0.35 	 2.096345950269904e11
0.0	 -0.3 	 2.095503847437419e11
0.0	 -0.25 	 2.0962099440762723e11
0.0	 -0.2 	 2.0967220811818942e11
0.0	 -0.15 	 2.0965825103094882e11
0.0	 -0.1 	 2.0998568381820706e11
0.0	 -0.05 	 2.0982282877437463e11
0.0	 0.0 	 2.0974803194429346e11
0.0	 0.05 	 2.098228287747087e11
0.0	 0.1 	 2.0998568381761935e11
0.0	 0.15 	 2.096582510309809e11
0.0	 0.2 	 2.096722081181907e11
0.0	 0.25 	 2.0962099440762833e11
0.0	 0.3 	 2.0955038474370566e11
0.0	 0.35 	 2.096345950270036e11
0.0	 0.4 	 2.0962803442522318e11
0.0	 0.45 	 2.0965616746326132e11
0.0	 0.5 	 2.0959355438722253e11
0.0	 0.55 	 2.0967560586836252e11
0.0	 0.6 	 2.094129492353613e11
0.0	 0.65 	 2.096660100856851e11
0.0	 0.7 	 2.0955500569038242e11
0.0	 0.75 	 2.0937955921400684e11
0.0	 0.8 	 2.0984113635696777e11
0.0	 0.85 	 2.0957724958621826e11
0.0	 0.9 	 2.096352166887646e11
0.0	 0.91 	 2.0965848733400153e11
0.0	 0.92 	 2.1013458633065393e11
0.0	 0.93 	 2.0945867728250772e11
0.0	 0.94 	 2.0961439013886237e11
0.0	 0.95 	 2.0931735287975827e11
0.0	 0.96 	 2.0930358560395294e11
0.0	 0.97 	 2.0922312275459894e11
0.0	 0.98 	 2.094260570075971e11
0.0	 0.99 	 2.0910474332408615e11
0.0	 1.0 	 0.0
50.0	 -1.0 	 0.0
50.0	 -0.99 	 1.9912604967190628e11
50.0	 -0.98 	 1.9936437336531262e11
50.0	 -0.97 	 1.991215740321096e11
50.0	 -0.96 	 1.9915229936053397e11
50.0	 -0.95 	 1.9911342161341364e11
50.0	 -0.94 	 1.9936066985349316e11
50.0	 -0.93 	 1.9913068513074014e11
50.0	 -0.92 	 1.9979190028228622e11
50.0	 -0.91 	 1.9932314322680145e11
50.0	 -0.9 	 1.9928839921255615e11
