###############
#    GaPSE    #
############### 
#
# This is an integration map of the function \mathcal{F}(s, \mu), defined as:
# \mathcal{F}(s, \mu) = \int_0^\infty dp p^2 \phi(p) \phi(\sqrt{p^2 + s^2 + 2 p s \mu}) F(s/p, \mu)
# where F(x, \mu) is stored in a WindowF struct (for its analytical definition, check the code.
#
#
# s [h_0^{-1} Mpc] 	 mu 	 IF
0.0	 -1.0 	 0.0
0.0	 -0.9979591836734694 	 2.4105477989011474e9
0.0	 -0.9959183673469387 	 2.4502907835662e9
0.0	 -0.9938775510204082 	 2.414084633513986e9
0.0	 -0.9918367346938776 	 2.4080000138757744e9
0.0	 -0.9897959183673469 	 2.395107248700043e9
0.0	 -0.9877551020408163 	 2.395241459317882e9
0.0	 -0.9857142857142858 	 2.4002889947310147e9
0.0	 -0.9836734693877551 	 2.403601892270538e9
0.0	 -0.9816326530612245 	 2.4061010781339e9
0.0	 -0.9795918367346939 	 2.3985733133869305e9
0.0	 -0.9775510204081632 	 2.4004628983602047e9
0.0	 -0.9755102040816327 	 2.4005107055688114e9
0.0	 -0.9734693877551021 	 2.3980824384879255e9
0.0	 -0.9714285714285714 	 2.3979311693772297e9
0.0	 -0.9693877551020408 	 2.397676906393359e9
0.0	 -0.9673469387755103 	 2.3985385321871247e9
0.0	 -0.9653061224489796 	 2.410957305923947e9
0.0	 -0.963265306122449 	 2.4027000499543977e9
0.0	 -0.9612244897959183 	 2.3979452038833804e9
0.0	 -0.9591836734693877 	 2.399162049336764e9
0.0	 -0.9571428571428572 	 2.3992994432458377e9
0.0	 -0.9551020408163265 	 2.4035561506708374e9
0.0	 -0.9530612244897959 	 2.3989588593239665e9
0.0	 -0.9510204081632653 	 2.398958136262865e9
0.0	 -0.9489795918367347 	 2.398708039404488e9
0.0	 -0.9469387755102041 	 2.403577027860201e9
0.0	 -0.9448979591836735 	 2.399833485104298e9
0.0	 -0.9428571428571428 	 2.401263576133753e9
0.0	 -0.9408163265306122 	 2.403668064286259e9
0.0	 -0.9387755102040817 	 2.4000909400922823e9
0.0	 -0.936734693877551 	 2.4014401273689275e9
0.0	 -0.9346938775510204 	 2.402822628461855e9
0.0	 -0.9326530612244898 	 2.40241756379308e9
0.0	 -0.9306122448979591 	 2.399352349258495e9
0.0	 -0.9285714285714286 	 2.403020196564117e9
0.0	 -0.926530612244898 	 2.4027981729806905e9
0.0	 -0.9244897959183673 	 2.405400693898233e9
0.0	 -0.9224489795918367 	 2.3996790136768656e9
0.0	 -0.9204081632653062 	 2.410240905417191e9
0.0	 -0.9183673469387755 	 2.4000303918614426e9
0.0	 -0.9163265306122449 	 2.398701771361659e9
0.0	 -0.9142857142857143 	 2.399421500529883e9
0.0	 -0.9122448979591836 	 2.4026259697101336e9
0.0	 -0.9102040816326531 	 2.402888915303174e9
0.0	 -0.9081632653061225 	 2.401425565371867e9
0.0	 -0.9061224489795918 	 2.39907744194804e9
0.0	 -0.9040816326530612 	 2.403732193908619e9
0.0	 -0.9020408163265307 	 2.405248790972102e9
0.0	 -0.9 	 2.4024758924647694e9
0.0	 -0.863265306122449 	 2.402123118034357e9
0.0	 -0.826530612244898 	 2.401260380430017e9
0.0	 -0.789795918367347 	 2.4062109436107283e9
0.0	 -0.753061224489796 	 2.399535199053099e9
0.0	 -0.7163265306122449 	 2.3996646800148163e9
0.0	 -0.6795918367346939 	 2.40392161895947e9
0.0	 -0.6428571428571429 	 2.4025650074985228e9
0.0	 -0.6061224489795919 	 2.399494517174454e9
0.0	 -0.5693877551020409 	 2.402099300607771e9
0.0	 -0.5326530612244897 	 2.4036898615222125e9
0.0	 -0.4959183673469388 	 2.401787002520691e9
0.0	 -0.45918367346938777 	 2.4025354741069436e9
0.0	 -0.42244897959183675 	 2.4032575535520396e9
0.0	 -0.38571428571428573 	 2.4018437815869856e9
0.0	 -0.3489795918367347 	 2.4024866248101463e9
0.0	 -0.3122448979591837 	 2.401352840278099e9
0.0	 -0.2755102040816326 	 2.4018054062094812e9
0.0	 -0.23877551020408164 	 2.402536199143923e9
0.0	 -0.20204081632653062 	 2.4028985889001155e9
0.0	 -0.1653061224489796 	 2.4029208239772882e9
0.0	 -0.12857142857142856 	 2.402486539744072e9
0.0	 -0.09183673469387756 	 2.407636854237643e9
0.0	 -0.05510204081632653 	 2.4047642340961175e9
0.0	 -0.018367346938775512 	 2.403768785593385e9
0.0	 0.018367346938775512 	 2.4037687855987024e9
0.0	 0.05510204081632653 	 2.404764234099707e9
0.0	 0.09183673469387756 	 2.4076368542288895e9
0.0	 0.12857142857142856 	 2.402486539744405e9
0.0	 0.1653061224489796 	 2.402920823977682e9
0.0	 0.20204081632653062 	 2.4028985889001064e9
0.0	 0.23877551020408164 	 2.402536199143934e9
0.0	 0.2755102040816326 	 2.4018054062094994e9
0.0	 0.3122448979591837 	 2.4013528402774673e9
0.0	 0.3489795918367347 	 2.402486624810298e9
0.0	 0.38571428571428573 	 2.4018437815871434e9
0.0	 0.42244897959183675 	 2.4032575535514417e9
0.0	 0.45918367346938777 	 2.402535474106978e9
0.0	 0.4959183673469388 	 2.4017870025206757e9
0.0	 0.5326530612244897 	 2.403689861520712e9
0.0	 0.5693877551020409 	 2.4020993006077604e9
0.0	 0.6061224489795919 	 2.3994945171743193e9
0.0	 0.6428571428571429 	 2.402565007504491e9
0.0	 0.6795918367346939 	 2.4039216189577827e9
0.0	 0.7163265306122449 	 2.399664680014665e9
0.0	 0.753061224489796 	 2.3995351990529447e9
0.0	 0.789795918367347 	 2.4062109436135535e9
0.0	 0.826530612244898 	 2.401260380429957e9
0.0	 0.863265306122449 	 2.402123118034286e9
0.0	 0.9 	 2.4024758924648633e9
0.0	 0.9020408163265307 	 2.405248790974957e9
0.0	 0.9040816326530612 	 2.4037321939086356e9
0.0	 0.9061224489795918 	 2.3990774419478245e9
0.0	 0.9081632653061225 	 2.401425565371154e9
0.0	 0.9102040816326531 	 2.4028889153030987e9
0.0	 0.9122448979591836 	 2.402625969709849e9
0.0	 0.9142857142857143 	 2.3994215005295916e9
0.0	 0.9163265306122449 	 2.398701771361333e9
0.0	 0.9183673469387755 	 2.4000303918614826e9
0.0	 0.9204081632653062 	 2.410240905402682e9
0.0	 0.9224489795918367 	 2.399679013676813e9
0.0	 0.9244897959183673 	 2.4054006938956513e9
0.0	 0.926530612244898 	 2.4027981729798403e9
0.0	 0.9285714285714286 	 2.403020196562515e9
0.0	 0.9306122448979591 	 2.39935234925845e9
0.0	 0.9326530612244898 	 2.4024175637928815e9
0.0	 0.9346938775510204 	 2.4028226284620085e9
0.0	 0.936734693877551 	 2.401440127369136e9
0.0	 0.9387755102040817 	 2.4000909400925183e9
0.0	 0.9408163265306122 	 2.4036680642864113e9
0.0	 0.9428571428571428 	 2.4012635761337843e9
0.0	 0.9448979591836735 	 2.3998334851048074e9
0.0	 0.9469387755102041 	 2.4035770278600354e9
0.0	 0.9489795918367347 	 2.3987080394042974e9
0.0	 0.9510204081632653 	 2.398958136262951e9
0.0	 0.9530612244897959 	 2.3989588593238087e9
0.0	 0.9551020408163265 	 2.4035561506703224e9
0.0	 0.9571428571428572 	 2.3992994432459645e9
0.0	 0.9591836734693877 	 2.3991620493361363e9
0.0	 0.9612244897959183 	 2.397945203883111e9
0.0	 0.963265306122449 	 2.4027000499518576e9
0.0	 0.9653061224489796 	 2.4109573059156346e9
0.0	 0.9673469387755103 	 2.398538532187089e9
