###############
#    GaPSE    #
############### 
#
# This is an integration map of the function \mathcal{F}(s, \mu), defined as:
# \mathcal{F}(s, \mu) = \int_0^\infty dp p^2 \phi(p) \phi(\sqrt{p^2 + s^2 + 2 p s \mu}) F(s/p, \mu)
# where F(x, \mu) is stored in a WindowF struct (for its analytical definition, check the code.
#
#
# Time needed for this computation [in s]: 627.858855009079
# Range of interest:
# 	 s_min = 148.1920001465757 h_0^{-1} Mpc
# 	 s_max = 571.7022420258767 h_0^{-1} Mpc
# The keyword arguments were:
# 	 alg = :trap 	 llim = nothing 	 rlim = nothing
# 	 rtol = 0.01 	 atol = 0.0 	 N = 1000 	 pr = true
#
# s [h_0^{-1} Mpc] 	 mu 	 IF
0.0	 -1.0 	 0.0
0.0	 -0.9995918367346939 	 2.4142003408647685e9
0.0	 -0.9991836734693877 	 2.4036251408506603e9
0.0	 -0.9987755102040816 	 2.4082161683299675e9
0.0	 -0.9983673469387755 	 2.409841786973769e9
0.0	 -0.9979591836734694 	 2.422299233116191e9
0.0	 -0.9975510204081632 	 2.404943795109991e9
0.0	 -0.9971428571428571 	 2.4039533067401857e9
0.0	 -0.996734693877551 	 2.4069140932409663e9
0.0	 -0.9963265306122449 	 2.411984820270034e9
0.0	 -0.9959183673469387 	 2.4622359650572834e9
0.0	 -0.9955102040816326 	 2.416701854320702e9
0.0	 -0.9951020408163266 	 2.4076082725836635e9
0.0	 -0.9946938775510205 	 2.4120918318831034e9
0.0	 -0.9942857142857143 	 2.5089469654892807e9
0.0	 -0.9938775510204082 	 2.425853309817862e9
0.0	 -0.9934693877551021 	 2.4065958875205736e9
0.0	 -0.993061224489796 	 2.4062562537826276e9
0.0	 -0.9926530612244898 	 2.410367090672389e9
0.0	 -0.9922448979591837 	 2.429281997894391e9
0.0	 -0.9918367346938776 	 2.419739027624345e9
0.0	 -0.9914285714285714 	 2.410953456753927e9
0.0	 -0.9910204081632653 	 2.4107058450185814e9
0.0	 -0.9906122448979592 	 2.417913330126083e9
0.0	 -0.990204081632653 	 2.4172659317352476e9
0.0	 -0.9897959183673469 	 2.406783410145133e9
0.0	 -0.9893877551020408 	 2.413420686321535e9
0.0	 -0.9889795918367347 	 2.412484622289668e9
0.0	 -0.9885714285714285 	 2.4132491476954184e9
0.0	 -0.9881632653061224 	 2.452941182574407e9
0.0	 -0.9877551020408163 	 2.406918275040497e9
0.0	 -0.9873469387755102 	 2.419875963538462e9
0.0	 -0.986938775510204 	 2.44001528094602e9
0.0	 -0.9865306122448979 	 2.4130442046196685e9
0.0	 -0.9861224489795918 	 2.410571911490651e9
0.0	 -0.9857142857142858 	 2.4119904172174454e9
0.0	 -0.9853061224489796 	 2.4157552162049503e9
0.0	 -0.9848979591836735 	 2.4104419999848166e9
0.0	 -0.9844897959183674 	 2.409666358753723e9
