###############
#    GaPSE    #
############### 
#
# This is an integration map of the function \mathcal{F}(s, \mu), defined as:
# \mathcal{F}(s, \mu) = \int_0^\infty dp p^2 \phi(p) \phi(\sqrt{p^2 + s^2 + 2 p s \mu}) F(s/p, \mu)
# where F(x, \mu) is stored in a WindowF struct (for its analytical definition, check the code.
#
#
# s [h_0^{-1} Mpc] 	 mu 	 IF
0.0	 -1.0 	 0.0
0.0	 -0.9947368421052631 	 2.4128553855847487e9
0.0	 -0.9894736842105263 	 2.4089517925985107e9
0.0	 -0.9842105263157894 	 2.4229804466999626e9
0.0	 -0.9789473684210527 	 2.408297532723024e9
0.0	 -0.9736842105263158 	 2.4270518953123565e9
0.0	 -0.968421052631579 	 2.409587214848539e9
0.0	 -0.9631578947368421 	 2.423236234533523e9
0.0	 -0.9578947368421052 	 2.412404075805184e9
0.0	 -0.9526315789473684 	 2.4153450383731627e9
0.0	 -0.9473684210526315 	 2.414694614054394e9
0.0	 -0.9421052631578948 	 2.417753143923554e9
0.0	 -0.9368421052631579 	 2.417479661464991e9
0.0	 -0.9315789473684211 	 2.4194951326049457e9
0.0	 -0.9263157894736842 	 2.4314388295705986e9
0.0	 -0.9210526315789473 	 2.4208709028837028e9
0.0	 -0.9157894736842105 	 2.41499828714407e9
0.0	 -0.9105263157894737 	 2.41470993841327e9
0.0	 -0.9052631578947369 	 2.413188187936131e9
0.0	 -0.9 	 2.415827426474353e9
0.0	 -0.8052631578947368 	 2.413832673864982e9
0.0	 -0.7105263157894737 	 2.411180177033024e9
0.0	 -0.6157894736842106 	 2.4159277328151984e9
0.0	 -0.5210526315789473 	 2.416161667674042e9
0.0	 -0.4263157894736842 	 2.419158689504659e9
0.0	 -0.33157894736842103 	 2.4158841350120907e9
0.0	 -0.23684210526315788 	 2.421954215681328e9
0.0	 -0.14210526315789473 	 2.430900163989684e9
0.0	 -0.04736842105263158 	 2.4152887487867956e9
0.0	 0.04736842105263158 	 2.4152887487867947e9
0.0	 0.14210526315789473 	 2.4309001639767194e9
0.0	 0.23684210526315788 	 2.4219542156795106e9
0.0	 0.33157894736842103 	 2.415884135012026e9
0.0	 0.4263157894736842 	 2.419158689504347e9
0.0	 0.5210526315789473 	 2.416161667674111e9
0.0	 0.6157894736842106 	 2.4159277328152127e9
0.0	 0.7105263157894737 	 2.4111801770329537e9
0.0	 0.8052631578947368 	 2.413832673865176e9
0.0	 0.9 	 2.4158274264742713e9
0.0	 0.9052631578947369 	 2.413188187936072e9
0.0	 0.9105263157894737 	 2.414709938413319e9
0.0	 0.9157894736842105 	 2.414998287143963e9
0.0	 0.9210526315789473 	 2.420870902883733e9
0.0	 0.9263157894736842 	 2.4314388295709825e9
0.0	 0.9315789473684211 	 2.419495132604116e9
0.0	 0.9368421052631579 	 2.417479661464387e9
0.0	 0.9421052631578948 	 2.4177531439237266e9
