###############
#    GaPSE    #
############### 
#
# This is an integration map of the function \mathcal{F}(s, \mu), defined as:
# \mathcal{F}(s, \mu) = \int_0^\infty dp p^2 \phi(p) \phi(\sqrt{p^2 + s^2 + 2 p s \mu}) F(s/p, \mu)
# where F(x, \mu) is stored in a WindowF struct (for its analytical definition, check the code.
#
#
# s [h_0^{-1} Mpc] 	 mu 	 IF
0.0	 -1.0 	 0.0
0.0	 -0.99 	 2.3917697345516167e9
0.0	 -0.98 	 2.403184321070334e9
0.0	 -0.97 	 2.3957225011260643e9
0.0	 -0.96 	 2.3911624476046305e9
0.0	 -0.95 	 2.3940333918541126e9
0.0	 -0.94 	 2.397193124112543e9
0.0	 -0.93 	 2.3973546765983086e9
0.0	 -0.92 	 2.393364477159598e9
0.0	 -0.91 	 2.395994776971806e9
0.0	 -0.9 	 2.3983119368654065e9
0.0	 -0.8 	 2.411771062251135e9
0.0	 -0.7 	 2.399725608445235e9
0.0	 -0.6 	 2.395735016784765e9
0.0	 -0.5 	 2.3999032098248434e9
0.0	 -0.4 	 2.3959653431456027e9
0.0	 -0.3 	 2.3996640933431125e9
0.0	 -0.2 	 2.3991451591454363e9
0.0	 -0.1 	 2.399910028316225e9
0.0	 0.0 	 2.396555571882334e9
0.0	 0.1 	 2.3999100283161564e9
0.0	 0.2 	 2.3991451591454844e9
0.0	 0.3 	 2.3996640933430448e9
0.0	 0.4 	 2.395965343145593e9
0.0	 0.5 	 2.399903209824873e9
0.0	 0.6 	 2.395735016784759e9
0.0	 0.7 	 2.3997256084448366e9
0.0	 0.8 	 2.4117710622461886e9
0.0	 0.9 	 2.398311936865325e9
0.0	 0.91 	 2.3959947769717183e9
0.0	 0.92 	 2.393364477159701e9
0.0	 0.93 	 2.397354676598139e9
0.0	 0.94 	 2.3971931241125274e9
0.0	 0.95 	 2.394033391854186e9
0.0	 0.96 	 2.3911624476046e9
0.0	 0.97 	 2.395722501126143e9
0.0	 0.98 	 2.4031843210702834e9
0.0	 0.99 	 2.3917697345515127e9
0.0	 1.0 	 0.0
21.768735478453323	 -1.0 	 0.0
21.768735478453323	 -0.99 	 2.3688430792601767e9
21.768735478453323	 -0.98 	 2.378043205641829e9
21.768735478453323	 -0.97 	 2.367365988849558e9
21.768735478453323	 -0.96 	 2.3623558356954684e9
21.768735478453323	 -0.95 	 2.3638547466125374e9
21.768735478453323	 -0.94 	 2.3654727710510755e9
21.768735478453323	 -0.93 	 2.366193356878553e9
21.768735478453323	 -0.92 	 2.3622005208043795e9
21.768735478453323	 -0.91 	 2.3640233514074965e9
21.768735478453323	 -0.9 	 2.364241505014102e9
21.768735478453323	 -0.8 	 2.3729053809049325e9
21.768735478453323	 -0.7 	 2.3598200997170844e9
21.768735478453323	 -0.6 	 2.3545788722369056e9
21.768735478453323	 -0.5 	 2.359107594544421e9
21.768735478453323	 -0.4 	 2.355128698374663e9
21.768735478453323	 -0.3 	 2.357985204007765e9
21.768735478453323	 -0.2 	 2.359815490605824e9
21.768735478453323	 -0.1 	 2.3622815969958224e9
21.768735478453323	 0.0 	 2.3589493840287433e9
21.768735478453323	 0.1 	 2.341037504297793e9
21.768735478453323	 0.2 	 2.318153194197972e9
21.768735478453323	 0.3 	 2.279022886151198e9
21.768735478453323	 0.4 	 2.25488644958218e9
21.768735478453323	 0.5 	 2.2390768879951262e9
21.768735478453323	 0.6 	 2.2185026944101825e9
21.768735478453323	 0.7 	 2.203215548767547e9
21.768735478453323	 0.8 	 2.17711234844108e9
21.768735478453323	 0.9 	 2.1508654316841784e9
21.768735478453323	 0.91 	 2.1505592555292964e9
21.768735478453323	 0.92 	 2.149088198982488e9
21.768735478453323	 0.93 	 2.1521352921201735e9
21.768735478453323	 0.94 	 2.152981999029197e9
21.768735478453323	 0.95 	 2.1315083712650263e9
21.768735478453323	 0.96 	 2.1301002490197644e9
21.768735478453323	 0.97 	 2.1330336709949327e9
21.768735478453323	 0.98 	 2.1444138808740094e9
21.768735478453323	 0.99 	 2.1358197806019795e9
21.768735478453323	 1.0 	 0.0
43.537470956906645	 -1.0 	 0.0
43.537470956906645	 -0.99 	 2.334885402118532e9
43.537470956906645	 -0.98 	 2.341308000624298e9
43.537470956906645	 -0.97 	 2.329595812601528e9
43.537470956906645	 -0.96 	 2.324170803762503e9
43.537470956906645	 -0.95 	 2.324091458784415e9
43.537470956906645	 -0.94 	 2.3262700891920004e9
43.537470956906645	 -0.93 	 2.3242906869825773e9
43.537470956906645	 -0.92 	 2.319244560630075e9
43.537470956906645	 -0.91 	 2.3226331966138763e9
43.537470956906645	 -0.9 	 2.321872553260386e9
43.537470956906645	 -0.8 	 2.3281854954552298e9
43.537470956906645	 -0.7 	 2.31309755191385e9
43.537470956906645	 -0.6 	 2.3062853821315475e9
43.537470956906645	 -0.5 	 2.3132248543761663e9
43.537470956906645	 -0.4 	 2.310997929305591e9
43.537470956906645	 -0.3 	 2.3151496961504893e9
43.537470956906645	 -0.2 	 2.318636666944226e9
43.537470956906645	 -0.1 	 2.320670118609872e9
43.537470956906645	 0.0 	 2.3183282594607477e9
43.537470956906645	 0.1 	 2.2588159586243186e9
43.537470956906645	 0.2 	 2.196603785342655e9
43.537470956906645	 0.3 	 2.16006053782735e9
43.537470956906645	 0.4 	 2.1171378230433385e9
43.537470956906645	 0.5 	 2.0640172458351665e9
43.537470956906645	 0.6 	 2.0289834600526204e9
43.537470956906645	 0.7 	 1.9781956337983065e9
43.537470956906645	 0.8 	 1.9567847294909685e9
