# Matter power spectrum P(k) at redshift z=0
# for k=2.05615e-07 to 20.2282 h/Mpc,
# number of wavenumbers equal to 421
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.056154633223e-07       1.146658889653e+00 
       2.153058215655e-07       1.198489524041e+00 
       2.254528723228e-07       1.252662977581e+00 
       2.360781388492e-07       1.309285149531e+00 
       2.472041587598e-07       1.368466725284e+00 
       2.588545318342e-07       1.430323393455e+00 
       2.710539700760e-07       1.494976072366e+00 
       2.838283501291e-07       1.562551145407e+00 
       2.972047681664e-07       1.633180709128e+00 
       3.112115973638e-07       1.707002830960e+00 
       3.258785480842e-07       1.784161819063e+00 
       3.412367308964e-07       1.864808504615e+00 
       3.573187225651e-07       1.949100536535e+00 
       3.741586351510e-07       2.037202689706e+00 
       3.917921883664e-07       2.129287187093e+00 
       4.102567853418e-07       2.225534036388e+00 
       4.295915919630e-07       2.326131381883e+00 
       4.498376199471e-07       2.431275872263e+00 
       4.710378138339e-07       2.541173045011e+00 
       4.932371420769e-07       2.656037728197e+00 
       5.164826924278e-07       2.776094460427e+00 
       5.408237718153e-07       2.901577929505e+00 
       5.663120109324e-07       3.032733432082e+00 
       5.930014737514e-07       3.169817352079e+00 
       6.209487722014e-07       3.313097662570e+00 
       6.502131862492e-07       3.462854449275e+00 
       6.808567896407e-07       3.619380457950e+00 
       7.129445815670e-07       3.782981667381e+00 
       7.465446245370e-07       3.953977886607e+00 
       7.817281887467e-07       4.132703380632e+00 
       8.185699032528e-07       4.319507524332e+00 
       8.571479142712e-07       4.514755482979e+00 
       8.975440509357e-07       4.718828930338e+00 
       9.398439988680e-07       4.932126790327e+00 
       9.841374819290e-07       5.155066019471e+00 
       1.030518452535e-06       5.388082421506e+00 
       1.079085290942e-06       5.631631498913e+00 
       1.129941013928e-06       5.886189343646e+00 
       1.183193493297e-06       6.152253567446e+00 
       1.238955684700e-06       6.430344274862e+00 
       1.297345867219e-06       6.721005080045e+00 
       1.358487894261e-06       7.024804168857e+00 
       1.422511456262e-06       7.342335410414e+00 
       1.489552355781e-06       7.674219516447e+00 
       1.559752795555e-06       8.021105257086e+00 
       1.633261680128e-06       8.383670726681e+00 
       1.710234931700e-06       8.762624671331e+00 
       1.790835820857e-06       9.158707872262e+00 
       1.875235312891e-06       9.572694594456e+00 
       1.963612430441e-06       1.000539410317e+01 
       2.056154633223e-06       1.045765224012e+01 
       2.153058215655e-06       1.093035308262e+01 
       2.254528723228e-06       1.142442066869e+01 
       2.360781388492e-06       1.194082080244e+01 
       2.472041587598e-06       1.248056294478e+01 
       2.588545318342e-06       1.304470218528e+01 
       2.710539700760e-06       1.363434130440e+01 
       2.838283501291e-06       1.425063292923e+01 
       2.972047681664e-06       1.489478178658e+01 
       3.112115973639e-06       1.556804705796e+01 
       3.258785480842e-06       1.627174484110e+01 
       3.412367308964e-06       1.700725072192e+01 
       3.573187225651e-06       1.777600246444e+01 
       3.741586351510e-06       1.857950281978e+01 
       3.917921883664e-06       1.941932246525e+01 
       4.102567853418e-06       2.029710307220e+01 
       4.295915919630e-06       2.121456051712e+01 
       4.498376199471e-06       2.217348823453e+01 
       4.710378138339e-06       2.317576071999e+01 
       4.932371420769e-06       2.422333719926e+01 
       5.164826924278e-06       2.531826545462e+01 
       5.408237718153e-06       2.646268582602e+01 
       5.663120109324e-06       2.765883539667e+01 
       5.930014737514e-06       2.890905236298e+01 
       6.209487722014e-06       3.021578060796e+01 
       6.502131862492e-06       3.158157447383e+01 
       6.808567896407e-06       3.300910375622e+01 
       7.129445815670e-06       3.450115892602e+01 
       7.465446245370e-06       3.606065656949e+01 
       7.817281887467e-06       3.769064509968e+01 
       8.185699032528e-06       3.939431071261e+01 
       8.571479142712e-06       4.117498361091e+01 
       8.975440509357e-06       4.303614450819e+01 
       9.398439988680e-06       4.498143143252e+01 
       9.841374819290e-06       4.701464683850e+01 
       1.030518452535e-05       4.913976503181e+01 
       1.079085290942e-05       5.136093993565e+01 
       1.129941013928e-05       5.368251320220e+01 
       1.183193493297e-05       5.610902269847e+01 
       1.238955684700e-05       5.864521137409e+01 
       1.297345867219e-05       6.129603650438e+01 
       1.358487894261e-05       6.406667940085e+01 
       1.422511456262e-05       6.696255550765e+01 
       1.489552355781e-05       6.998932498567e+01 
       1.559752795555e-05       7.315290376090e+01 
       1.633261680128e-05       7.645947507564e+01 
       1.710234931700e-05       7.991550155232e+01 
       1.790835820857e-05       8.352773781284e+01 
       1.875235312891e-05       8.730324365507e+01 
       1.963612430441e-05       9.124939783006e+01 
       2.056154633223e-05       9.537391243300e+01 
       2.153058215655e-05       9.968484794216e+01 
       2.254528723228e-05       1.041906289406e+02 
       2.360781388492e-05       1.089000605248e+02 
       2.472041587598e-05       1.138223454984e+02 
       2.588545318342e-05       1.189671022536e+02 
       2.710539700760e-05       1.243443835412e+02 
       2.838283501291e-05       1.299646960254e+02 
       2.972047681664e-05       1.358390207336e+02 
       3.112115973639e-05       1.419788344278e+02 
       3.258785480842e-05       1.483961319049e+02 
       3.412367308964e-05       1.551034493176e+02 
       3.573187225651e-05       1.621138885162e+02 
       3.741586351510e-05       1.694411424965e+02 
       3.917921883664e-05       1.770995219275e+02 
       4.102567853418e-05       1.851039829307e+02 
       4.295915919630e-05       1.934701560458e+02 
       4.498376199471e-05       2.022143764097e+02 
       4.710378138339e-05       2.113537154373e+02 
       4.932371420769e-05       2.209060137006e+02 
       5.164826924278e-05       2.308899153812e+02 
       5.408237718153e-05       2.413249041901e+02 
       5.663120109324e-05       2.522313408185e+02 
       5.930014737514e-05       2.636305020673e+02 
       6.209487722014e-05       2.755446216286e+02 
       6.502131862492e-05       2.879969326390e+02 
       6.808567896407e-05       3.010117120540e+02 
       7.129445815670e-05       3.146143269097e+02 
       7.465446245370e-05       3.288312825294e+02 
       7.817281887467e-05       3.436902728355e+02 
       8.185699032528e-05       3.592202325894e+02 
       8.571479142712e-05       3.754513919995e+02 
       8.975440509357e-05       3.924153334416e+02 
       9.398439988680e-05       4.101450505396e+02 
       9.841374819290e-05       4.286750096003e+02 
       1.030518452535e-04       4.480412134964e+02 
       1.079085290942e-04       4.682812680864e+02 
       1.129941013928e-04       4.894344511581e+02 
