###################################
#   ____       ____  ____  _____  #
#  / ___| __ _|  _ \/ ___|| ____| #
# | |  _ / _` | |_) \___ \|  _|   #
# | |_| | (_| |  __/ ___) | |___  # 
#  \____|\__,_|_|   |____/|_____| #
###################################
# 
#
# The I_l^n integrals evaluated in the following comoving separations.
# Input Power Spectrum file: WideA_ZA_pk.dat
#
# The I_l^n are integrated over [1.0e-5, 1000.0] (the extremes
# `IPSTools` hands over to `xicalc`), and the sigma_i of the asymptotic
# limits must use the same ones:
#   sigma_-4 = 1.2699714253251158e13
#   sigma_-2 = 2.3467346052943926e7
#   sigma_0 = 143.28503956334472
#   sigma_2 = 101.12817125947123
#   sigma_4 = 1.4915596528577246e6
#
# For comparison, the sigma_i stored by `IPSTools` (over [1.0e-6, 10.0]):
#   sigma_0 = 18.584280735816282 	 sigma_2 = 101.06362200769537 	 sigma_4 = 2.074924034369007e6
#
# CAREFUL: outside [0.05, 96466.16199111959] (and [0.1, 9888.080416307215] for I04_tilde)
# these values are power-law extrapolations, NOT the integrals.
#
# s [h_0^{-1} Mpc] 	 I00 	 I20 	 I40 	 I02 	 I22 	 I31 	 I13 	 I11 	 I04_tilde
1.0e-6 	 2636.375915529747 	 180.3766859631102 	 138.69628356556487 	 1.0316011493106794e14 	 190.3043749015479 	 44.49436917386029 	 3.3768716898296957e13 	 914.5395622507197 	 -1.6917378470567195e13
1.0322079722367558e-6 	 2604.5083509423043 	 178.65633849908585 	 137.1633539371959 	 9.681720742230061e13 	 188.08825293488763 	 44.0478011561259 	 3.1694053976355152e13 	 903.7732914853697 	 -1.5877935860842707e13
1.0654532979491153e-6 	 2573.0247248405617 	 176.9523100600503 	 135.64735962883893 	 9.086430021250211e13 	 185.89784954993524 	 43.60570073479543 	 2.974685299656067e13 	 893.1333296106227 	 -1.490235899372075e13
1.0997693881890204e-6 	 2541.920411556926 	 175.26444584554486 	 134.14811354445342 	 8.527741372558917e13 	 183.7328662769066 	 43.16802321473434 	 2.7919283025741605e13 	 882.6181947822827 	 -1.3986723811211e13
1.1351907301106488e-6 	 2511.190841153564 	 173.59259252353064 	 132.66543065497643 	 8.003404279478156e13 	 181.59300810982467 	 42.734724347951214 	 2.6203994243074523e13 	 872.226422541012 	 -1.3127347358463574e13
1.171752921629475e-6 	 2480.8314987509825 	 171.93659821645983 	 131.19912797548764 	 7.51130660070062e13 	 179.4779834663221 	 42.30576032912451 	 2.4594088381782383e13 	 861.9565656083756 	 -1.2320772969838234e13
1.2094927071976546e-6 	 2450.837923864677 	 170.29631248747776 	 129.74902454262576 	 7.049466062135177e13 	 177.38750414790826 	 41.881087791173755 	 2.308309098681719e13 	 851.8071936852737 	 -1.1563756365175004e13
1.2484480147316354e-6 	 2421.2057097497914 	 168.67158632675722 	 128.31494139225538 	 6.6160222718854664e13 	 175.32128530069963 	 41.46066380087542 	 2.166492537696027e13 	 841.7768932527429 	 -1.0853252600342422e13
1.2886579937291448e-6 	 2391.9305027536643 	 167.06227213796168 	 126.89670153738003 	 6.209229226195713e13 	 173.2790453766043 	 41.044445854522436 	 2.0333888206623402e13 	 831.8642673750937 	 -1.01864038195738e13
1.3301630546138467e-6 	 2363.0080016761776 	 165.46822372483703 	 125.4941299462995 	 5.827448276176305e13 	 171.26050609495786 	 40.63239187362718 	 1.9084626529070016e13 	 822.0679355053564 	 -9.560527760328178e12
1.3730049093472106e-6 	 2334.433957137811 	 163.88929627793053 	 124.10705352100804 	 5.469141526977615e13 	 169.26539240460392 	 40.224460200667444 	 1.791211626881289e13 	 812.38653329301 	 -8.973106964438967e12
1.417226613348395e-6 	 2306.2041709553137 	 162.32534636143612 	 122.73530107583208 	 5.132865642822602e13 	 167.29343244641547 	 39.82060959487507 	 1.6811642016612586e13 	 802.8187123939688 	 -8.421778652154613e12
1.4628726087643117e-6 	 2278.314495524889 	 160.7762319001635 	 121.37870331630278 	 4.817266032943258e13 	 165.34435751625 	 39.42079922806648 	 1.5778778065818393e13 	 793.3631402827934 	 -7.90432521834111e12
1.5099887691333033e-6 	 2250.7608332128207 	 159.24181216663212 	 120.03709281826286 	 4.521071395001037e13 	 163.4179020283356 	 39.02498868051512 	 1.4809370613788324e13 	 784.01850006711 	 -7.418665312620021e12
1.5586224454873618e-6 	 2223.5391357534336 	 157.72194776828644 	 118.7103040072041 	 4.243088594010681e13 	 161.5138034790816 	 38.63313793686518 	 1.3899521056807635e13 	 774.7834903042035 	 -6.962845467563153e12
1.6088225139392032e-6 	 2196.645403654313 	 156.2165006348334 	 117.39817313783284 	 3.98219785613879e13 	 159.63180241130902 	 38.24520738208611 	 1.304557031132452e13 	 765.656824819765 	 -6.535032241270203e12
1.6606394248020283e-6 	 2170.075685608686 	 154.72533400569927 	 116.10053827386135 	 3.737348258016692e13 	 157.77164237889627 	 37.86115779746759 	 1.2244084098448686e13 	 756.6372325287618 	 -6.133504842724492e12
1.7141252532913142e-6 	 2143.8260779148864 	 153.24831241760614 	 114.81723926802293 	 3.507553493397703e13 	 155.93306991183567 	 37.48095035665481 	 1.1491839132532596e13 	 747.7234572584155 	 -5.756648210263894e12
1.769333751859643e-6 	 2117.8927239028053 	 151.7853016922656 	 113.54811774230674 	 3.291887900105744e13 	 154.1158344816942 	 37.104546621723024 	 1.0785810158290209e13 	 738.9142575732479 	 -5.402946515326168e12
1.8263204042170934e-6 	 2092.271813367263 	 150.33616892418945 	 112.29301706841206 	 3.089482731271324e13 	 152.31968846747645 	 36.73190853929169 	 1.0123157784322238e13 	 730.2084066021882 	 -5.070977065339379e12
1.8851424810915382e-6 	 2066.959582008201 	 148.9007824686164 	 111.05178234841792 	 2.8995226558343953e13 	 150.54438712188295 	 36.36299843667735 	 9.50121706411797e12 	 721.6046918677023 	 -4.759404581232582e12
1.9458590977848637e-6 	 2041.9523108776193 	 147.47901192955263 	 109.82426039566639 	 2.721242474217476e13 	 148.78968853796033 	 35.99777901808506 	 8.91748677861099e12 	 713.1019151169307 	 -4.466975826549451e12
2.0085312735829613e-6 	 2017.2463258331766 	 146.07072814792616 	 108.61029971585708 	 2.5539240359390266e13 	 147.05535361613846 	 35.63621336083783 	 8.369619377186994e12 	 704.6988921548049 	 -4.1925145665614863e12
2.073221993079177e-6 	 1992.8379969983798 	 144.67580318985395 	 107.40975048835075 	 2.3968933467506375e13 	 145.34114603165045 	 35.278264911643916 	 7.855411536690329e12 	 696.3944526791245 	 -3.934916837104968e12
2.139996269472903e-6 	 1968.7237382292637 	 143.29411033501918 	 106.22246454767883 	 2.2495178536448188e13 	 143.64683220232988 	 34.92389748290131 	 7.372795300460512e12 	 688.1874401175643 	 -3.6931465041112783e12
2.2089212099068473e-6 	 1944.9000065875089 	 141.9255240651601 	 105.04829536525789 	 2.111203896797018e13 	 141.9721812567827 	 34.57307524903932 	 6.919829761763817e12 	 680.0767114665994 	 -3.4662310959700493e12
2.2800660829087084e-6 	 1921.3633018199032 	 140.56992005266713 	 103.88709803130575 	 1.9813943181775996e13 	 140.31696500292816 	 34.22576274289667 	 6.494693258173245e12 	 672.061137132316 	 -3.253257891961415e12
2.3535023880050006e-6 	 1898.1101658440716 	 139.22717514928874 	 102.73872923695757 	 1.859566217200827e13 	 138.68095789690452 	 33.88192485213591 	 6.095676045505682e12 	 664.1396007730915 	 -3.05337025102399e12
