# sigma_i = int_kmin^kmax dq/(2 pi^2) q^(2-i) P(q)
# Input Power Spectrum: WideA_ZA_pk.dat
# tabulated range of the input file: [2.056154633223e-7, 20.22821679002]

### the two ranges that GaPSE actually uses

sigma_i             IPSTools            xicalc       ratio
              [1e-06, 1e+01]    [1e-05, 1e+03]xicalc/IPSTools
sigma_0         1.858428e+01      1.432850e+02      7.7100
sigma_1         1.575556e+01      1.732273e+01      1.0995
sigma_2         1.010636e+02      1.011282e+02      1.0006
sigma_3         3.734929e+03      3.732690e+03      0.9994
sigma_4         2.074924e+06      1.491560e+06      0.7189

### sigma_i as a function of k_max   (k_min = 1.0e-5 fixed)

k_max              sigma_0       sigma_1       sigma_2       sigma_3       sigma_4
1.0e+00       3.413918e+00  1.097115e+01  9.882776e+01  3.731320e+03  1.491559e+06
1.0e+01       1.858428e+01  1.575556e+01  1.010636e+02  3.732686e+03  1.491560e+06
2.0e+01       2.692211e+01  1.634863e+01  1.011075e+02  3.732689e+03  1.491560e+06
1.0e+02       5.654162e+01  1.703120e+01  1.011267e+02  3.732690e+03  1.491560e+06
1.0e+03       1.432850e+02  1.732273e+01  1.011282e+02  3.732690e+03  1.491560e+06
1.0e+04       3.414843e+02  1.738935e+01  1.011282e+02  3.732690e+03  1.491560e+06

### sigma_i as a function of k_min   (k_max = 10.0 fixed)

k_min              sigma_0       sigma_1       sigma_2       sigma_3       sigma_4
1.0e-07       1.858428e+01  1.575556e+01  1.010636e+02  3.735175e+03  2.714571e+06
1.0e-06       1.858428e+01  1.575556e+01  1.010636e+02  3.734929e+03  2.074924e+06
1.0e-05       1.858428e+01  1.575556e+01  1.010636e+02  3.732686e+03  1.491560e+06
1.0e-04       1.858428e+01  1.575556e+01  1.010625e+02  3.712229e+03  9.595528e+05
1.0e-03       1.858428e+01  1.575550e+01  1.009621e+02  3.527131e+03  4.765963e+05
