###################################
#   ____       ____  ____  _____  #
#  / ___| __ _|  _ \/ ___|| ____| #
# | |  _ / _` | |_) \___ \|  _|   #
# | |_| | (_| |  __/ ___) | |___  # 
#  \____|\__,_|_|   |____/|_____| #
###################################
# 
#
# The first zero of the spherical Bessel function j_l(x), for x > 0 .
#
# Least-squares straight line over 0 <= l <= 100 :
#   x = 4.7466467862140505 + 1.051276530576155 * l
#
# l 	 first_zero 	 linear_fit 	 l + 1.8557 l^(1/3)
0 	 3.141592653590104 	 4.7466467862140505 	 0.0
1 	 4.493409457906985 	 5.797923316790206 	 2.8556999999999997
2 	 5.763459196896026 	 6.849199847366361 	 4.338035492289916
3 	 6.987932000498695 	 7.900476377942516 	 5.676382527619458
4 	 8.18256145256904 	 8.951752908518671 	 6.945740132137388
5 	 9.355812111046578 	 10.003029439094826 	 8.173202364247945
6 	 10.512835408089597 	 11.054305969670981 	 9.372030684118602
7 	 11.657032192518312 	 12.105582500247136 	 10.549826395870722
8 	 12.790781711969771 	 13.156859030823291 	 11.7114
9 	 13.915822610502811 	 14.208135561399446 	 12.860011550437418
10 	 15.033469303741331 	 15.259412091975602 	 13.997984454292167
11 	 16.144742942302493 	 16.31068862255176 	 15.127039854069478
12 	 17.250454784127584 	 17.36196515312791 	 16.248492439812438
13 	 18.351261495951924 	 18.413241683704065 	 17.36337178000341
14 	 19.447703108103646 	 19.464518214280222 	 18.472500999629972
15 	 20.54022982505076 	 20.51579474485638 	 19.576549746335054
16 	 21.62922143658949 	 21.567071275432532 	 20.67607098457983
17 	 22.715001674975397 	 22.618347806008686 	 21.771527247784487
18 	 23.797849034122073 	 23.669624336584842 	 22.86330980523345
19 	 24.87800505820006 	 24.720900867161 	 23.951752939533314
20 	 25.95568078504779 	 25.772177397737153 	 25.037144771115166
21 	 27.0310618213433 	 26.823453928313306 	 26.119735594110445
22 	 28.104312387689404 	 27.874730458889463 	 27.1997443858972
23 	 29.17557857691628 	 28.92600698946562 	 28.277363954510548
24 	 30.24499100462249 	 29.977283520041773 	 29.352765055238915
25 	 31.31266698431731 	 31.028560050617926 	 30.426099716801616
26 	 32.378712327198755 	 32.07983658119409 	 31.497503954143557
27 	 33.4432228422388 	 33.13111311177024 	 32.567099999999996
28 	 34.50628559554866 	 34.18238964234639 	 33.63499815510966
29 	 35.56797997407746 	 35.23366617292255 	 34.70129833342523
30 	 36.628378589725116 	 36.2849427034987 	 35.76609136129858
31 	 37.68754805181372 	 37.33621923407486 	 36.829460076642704
32 	 38.74554963073868 	 38.387495764651014 	 37.891480264274776
33 	 39.8024398307995 	 39.43877229522717 	 38.952221456173255
34 	 40.858270886744094 	 40.49004882580332 	 40.011747619630626
35 	 41.913091196341284 	 41.54132535637948 	 41.070117751816966
36 	 42.96694569859679 	 42.592601886955634 	 42.127386395773755
37 	 44.01987620545398 	 43.64387841753179 	 43.183604090099394
38 	 45.07192169428659 	 44.69515494810795 	 44.238817762396835
39 	 46.123118566066324 	 45.7464314786841 	 45.29307107480139
40 	 47.173500874481036 	 46.797708009260255 	 46.34640472849589
41 	 48.22310052971005 	 47.84898453983641 	 47.39885673297823
42 	 49.27194748006468 	 48.90026107041256 	 48.45046264491579
43 	 50.32006987438132 	 49.95153760098872 	 49.50125578065964
44 	 51.36749420787545 	 51.002814131564875 	 50.55126740586458
45 	 52.414245453168405 	 52.05409066214103 	 51.60052690514221
46 	 53.46034717816099 	 53.10536719271719 	 52.64906193424429
47 	 54.505821652857946 	 54.15664372329334 	 53.696898556913375
48 	 55.55068994578431 	 55.207920253869496 	 54.744061368237205
49 	 56.59497201149087 	 56.25919678444565 	 55.79057360608963
50 	 57.6386867702891 	 57.3104733150218 	 56.83645725202697
51 	 58.68185218060813 	 58.36174984559796 	 57.88173312282727
52 	 59.72448530511386 	 59.413026376174116 	 58.926420953705765
53 	 60.7666023711608 	 60.46430290675027 	 59.970539474108044
54 	 61.8082188261111 	 61.51557943732643 	 61.01410647686975
55 	 62.849349388162594 	 62.56685596790258 	 62.057138881434916
56 	 63.8900080927927 	 63.61813249847874 	 63.09965279174144
57 	 64.93020833578026 	 64.66940902905489 	 64.14166354931037
58 	 65.9699629126633 	 65.72068555963105 	 65.183185782013
59 	 67.0092840551313 	 66.77196209020721 	 66.224233448936
60 	 68.04818346474414 	 67.82323862078336 	 67.26481988171706
61 	 69.08667234412039 	 68.8745151513595 	 68.3049578226827
62 	 70.12476142570185 	 69.92579168193566 	 69.34465946008393
