# This is an integration map on mu of xi_lensing.
# The following parameters were used for this computation: 
# 	 h_0 = 0.7 	 	 EVERYTHING IS MEASURED WITHOUT h_0!
# 	 z_min = 0.05 	 z_max = 0.2 	 z_eff = 0.15046
# 	 s_min = 148.192 	s_max = 571.702 	 s_eff = 435.375
# 	 Ω_b = 0.0489 	 Ω_cdm = 0.25102 	 Ω_M0 = 0.29992
# The comoving distances s are measured in Mpc/h_0.
# computational time needed (in s) : 69.1553
# kwards passed: 
# 		χ_atol = 0.01
# 		χ_rtol = 0.01
# 		atol = 0.001
# 		rtol = 0.01
# 		tol = 0.5

s 	 xi 	 xi_error
0.1 	 0.0 	 0.0
0.10974987654930562 	 0.0 	 0.0
0.12045035402587821 	 0.0 	 0.0
0.1321941148466029 	 0.0 	 0.0
0.14508287784959398 	 0.0 	 0.0
0.1592282793341092 	 0.0 	 0.0
0.17475284000076838 	 0.0 	 0.0
0.19179102616724888 	 0.0 	 0.0
0.21049041445120203 	 0.0 	 0.0
0.23101297000831597 	 0.0 	 0.0
0.2535364493970112 	 0.0 	 0.0
0.2782559402207124 	 0.0 	 0.0
0.30538555088334157 	 0.0 	 0.0
0.3351602650938842 	 0.0 	 0.0
0.3678379771828633 	 0.0 	 0.0
0.40370172585965547 	 0.0 	 0.0
0.44306214575838804 	 0.0 	 0.0
0.4862601580065353 	 0.0 	 0.0
0.533669923120631 	 3.8811551313830605e-5 	 8.181577481042979e-8
0.5857020818056666 	 3.842366652733571e-5 	 8.808825124758001e-8
0.6428073117284321 	 3.828776098358586e-5 	 1.8837248853842325e-7
0.7054802310718643 	 3.785061441846734e-5 	 1.9976394978055011e-7
0.7742636826811271 	 3.7355780265953035e-5 	 1.4749286186087218e-7
0.8497534359086443 	 3.6753154098078595e-5 	 2.58327532768627e-7
0.9326033468832199 	 3.631498098313378e-5 	 3.334711693789494e-7
1.0235310218990261 	 3.5810758255983885e-5 	 2.77542460624888e-7
1.1233240329780274 	 3.528032485374868e-5 	 2.8228515360705233e-7
1.2328467394420661 	 3.473884012418516e-5 	 3.2761949083711707e-7
1.353047774579807 	 3.405699630423525e-5 	 1.915374829297427e-7
1.484968262254465 	 3.355223478377486e-5 	 2.347731049213735e-7
1.6297508346206442 	 3.2654905989670726e-5 	 2.2059841064956842e-7
1.788649529057435 	 3.2110772466896955e-5 	 2.4062623868783815e-7
1.9630406500402708 	 3.099476824699966e-5 	 2.4127468113587014e-8
2.154434690031884 	 3.036152181126662e-5 	 8.882242177834598e-8
2.3644894126454075 	 2.993036753566556e-5 	 7.006482110725188e-8
2.595024211399736 	 2.9131931698537937e-5 	 2.1963851993024975e-8
2.8480358684358014 	 2.8572546880281014e-5 	 1.2718361310051661e-7
3.1257158496882362 	 2.7765850326302903e-5 	 7.478582105759024e-8
3.4304692863149184 	 2.704852573434826e-5 	 1.2726128669285686e-8
3.7649358067924683 	 2.658278399265262e-5 	 2.123483244851343e-7
4.132012400115337 	 2.5661941672838404e-5 	 4.57994130862911e-8
4.534878508128582 	 2.5002246589937287e-5 	 1.1632266750800291e-7
4.977023564332112 	 2.4130467277176928e-5 	 1.6088591959338493e-7
5.462277217684341 	 2.3297793649796355e-5 	 1.2436465685732047e-7
5.99484250318941 	 2.2278017207387153e-5 	 2.3078615158922844e-8
6.579332246575681 	 2.1540582906011048e-5 	 1.0975976879107919e-7
7.220809018385464 	 2.0642595807154613e-5 	 1.0432876084345465e-7
7.924828983539173 	 1.974255991033319e-5 	 1.0679001767988616e-7
8.697490026177835 	 1.88539606395409e-5 	 1.0101858534422625e-7
9.54548456661834 	 1.796767687409418e-5 	 1.0651021195524635e-7
10.476157527896646 	 1.7056866269866923e-5 	 9.711547958445621e-8
